Year,Industry,Gas Type,Gas Name,Emissions,,,,,
1996,Human health and social work activities,CO2,Carbon Dioxide,"6,055.8",,,,,
1996,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,588.1",,,,,
1996,Other service activities,CO2,Carbon Dioxide,"1,280.5",,,,,
1996,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,48.9,,,,,
1996,Consumer expenditure,CO2,Carbon Dioxide,"154,027.0",,,,,
1997,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"7,886.2",,,,,
1997,Mining and quarrying,CO2,Carbon Dioxide,"29,094.4",,,,,
1997,Manufacturing,CO2,Carbon Dioxide,"133,461.1",,,,,
1997,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"155,169.1",,,,,
1997,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"3,450.5",,,,,
1997,Construction,CO2,Carbon Dioxide,"10,528.8",,,,,
1997,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"12,442.1",,,,,
1997,Transport and storage,CO2,Carbon Dioxide,"86,262.1",,,,,
1997,Accommodation and food services,CO2,Carbon Dioxide,"3,183.8",,,,,
1997,Information and communication,CO2,Carbon Dioxide,"1,199.0",,,,,
1997,Financial and insurance activities,CO2,Carbon Dioxide,319.1,,,,,
1997,Real estate activities,CO2,Carbon Dioxide,746.8,,,,,
1997,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,434.7",,,,,
1997,Administrative and support service activities,CO2,Carbon Dioxide,"2,965.8",,,,,
1997,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"9,325.8",,,,,
1997,Education,CO2,Carbon Dioxide,"5,945.4",,,,,
1997,Human health and social work activities,CO2,Carbon Dioxide,"5,241.3",,,,,
1997,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,426.4",,,,,
1997,Other service activities,CO2,Carbon Dioxide,"1,176.1",,,,,
1997,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,49.4,,,,,
1997,Consumer expenditure,CO2,Carbon Dioxide,"147,888.5",,,,,
1998,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"8,166.6",,,,,
1998,Mining and quarrying,CO2,Carbon Dioxide,"29,859.9",,,,,
1998,Manufacturing,CO2,Carbon Dioxide,"128,525.0",,,,,
1998,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"161,644.0",,,,,
1998,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"5,510.8",,,,,
1998,Construction,CO2,Carbon Dioxide,"10,781.6",,,,,
1998,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"12,617.2",,,,,
1998,Transport and storage,CO2,Carbon Dioxide,"91,676.2",,,,,
1998,Accommodation and food services,CO2,Carbon Dioxide,"3,415.9",,,,,
1998,Information and communication,CO2,Carbon Dioxide,"1,225.4",,,,,
1998,Financial and insurance activities,CO2,Carbon Dioxide,326.8,,,,,
1998,Real estate activities,CO2,Carbon Dioxide,794.6,,,,,
1998,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,502.9",,,,,
1998,Administrative and support service activities,CO2,Carbon Dioxide,"3,030.1",,,,,
