code,label,cx,cy
E05001085,Whickham North,-1.6816826421652895,54.950363890458995
E05001086,Whickham South and Sunniside,-1.6965863246312995,54.9247795095393
E05001087,Windy Nook and Whitehills,-1.5619682618276096,54.938661635774466
E05001088,Winlaton and High Spen,-1.752486481951143,54.93986573685256
E05001115,Battle Hill,-1.5175620464370247,55.01069790407448
E05001116,Benton,-1.5659953780317217,55.016895331800185
E05001117,Camperdown,-1.5723089395471201,55.04586072921762
E05001118,Chirton,-1.4746598766814814,55.007434585381766
E05001119,Collingwood,-1.4841872877642683,55.022879961943325
E05001120,Cullercoats,-1.4447839042150195,55.03004211406925
E05001121,Howdon,-1.5052268230762509,55.00212183022557
E05001122,Killingworth,-1.5437943371397838,55.026465853455086
E05001123,Longbenton,-1.5853668493616768,55.02185034837793
E05001124,Monkseaton North,-1.4610343278991076,55.046847892956016
E05001125,Monkseaton South,-1.4698938821533722,55.03720650002495
E05001126,Northumberland,-1.5473197193700026,55.00348235979152
E05001127,Preston,-1.455238926586161,55.016259405788766
E05001128,Riverside,-1.4733281749702356,54.996347535051434
E05001129,St Mary's,-1.476271788923146,55.056398857650656
E05001130,Tynemouth,-1.434902233595482,55.018085236577285
E05001131,Valley,-1.5238136169895804,55.041345096822994
E05001132,Wallsend,-1.5304247753818503,54.99441081942613
E05001133,Weetslade,-1.6096216922782183,55.053005964422105
E05001134,Whitley Bay,-1.446232959063816,55.04031195546703
E05001135,Beacon and Bents,-1.4277106576620031,54.99741491879723
E05001136,Bede,-1.4643182221350675,54.97225894714877
E05001137,Biddick and All Saints,-1.4434316610540254,54.963810570954344
E05001138,Boldon Colliery,-1.4594415109400063,54.94624538338146
E05001139,Cleadon and East Boldon,-1.4138740443674518,54.94890981866172
E05001140,Cleadon Park,-1.410796804532159,54.97081573666087
E05001141,Fellgate and Hedworth,-1.4914577793958517,54.94493186247528
E05001142,Harton,-1.4036677047942583,54.97733799546999
E05001143,Hebburn North,-1.5185213420497763,54.976383126450166
E05001144,Hebburn South,-1.5130319094719542,54.962905862897436
E05001145,Horsley Hill,-1.4001184425163515,54.9872537261981
E05001146,Monkton,-1.4988752153558054,54.969052944756555
E05001147,Primrose,-1.4884374978563986,54.975494048482766
E05001148,Simonside and Rekendyke,-1.4429397657568233,54.981908368569066
E05001149,Westoe,-1.4202204721033589,54.98545289602348
E05001150,West Park,-1.42993911123191,54.97878521664288
E05001151,Whitburn and Marsden,-1.3737656941704461,54.958302987654825
E05001152,Whiteleas,-1.4271819099201375,54.964609289436545
E05001153,Barnes,-1.413461133456764,54.893519376166054
E05001154,Castle,-1.4496182187177142,54.91877982787788
E05001155,Copt Hill,-1.4470934810288911,54.84612376992456
E05001156,Doxford,-1.4032282664681741,54.85988530187175
E05001157,Fulwell,-1.3817419366793076,54.933350319321086
E05001158,Hendon,-1.3673934765538236,54.90237463983707
E05001159,Hetton,-1.4603544330320486,54.81619613184468
E05001160,Houghton,-1.4895768220891832,54.846981965660966
E05001161,Millfield,-1.39686170511672,54.90449297130074
E05001162,Pallion,-1.4222455060990165,54.90663499108659
E05001163,Redhill,-1.4377346852572006,54.92847646653388
E05001164,Ryhope,-1.3685971130224805,54.871476770689505
E05001165,St Anne's,-1.4446480317817374,54.89833113594311
E05001166,St Chad's,-1.437662756056863,54.87375827049406
E05001167,St Michael's,-1.3849517820047124,54.89160672763355
E05001168,St Peter's,-1.3735998529865394,54.920628174736
E05001169,Sandhill,-1.4381574443873255,54.8855249396971
E05001170,Shiney Row,-1.480142382283831,54.87911979359619
E05001171,Silksworth,-1.4060254927944347,54.880595019601344
E05001172,Southwick,-1.4035700211957431,54.92333422388687
E05001173,Washington Central,-1.5238654529130091,54.897514508512906
E05001174,Washington East,-1.5004157129627773,54.89469692009443
E05001175,Washington North,-1.4988943069540424,54.918939463650496
E05001176,Washington South,-1.5472187400414275,54.89160754660612
E05001177,Washington West,-1.5464678067284017,54.91794667378848
E05001218,Bablake,-1.564084712445832,52.4387022611843
E05001219,Binley and Willenhall,-1.4550963615216568,52.39187373957765
E05001220,Cheylesmore,-1.489950140112516,52.38632987722464
E05001221,Earlsdon,-1.530623687496537,52.393730703039644
E05001222,Foleshill,-1.4974978322215482,52.427622255912674
E05001223,Henley,-1.451357396182537,52.43475166510642
E05001224,Holbrook,-1.5130408341877455,52.44326021717914
E05001225,Longford,-1.48069082233926,52.44602698545132
E05001226,Lower Stoke,-1.4733598612104628,52.40442552477739
E05001227,Radford,-1.516521913572403,52.42393587736464
E05001228,St Michael's,-1.5011467212194571,52.40721132319343
E05001229,Sherbourne,-1.5359145128375145,52.41527929273953
E05001230,Upper Stoke,-1.4760102072325798,52.41986235171349
E05001231,Wainbody,-1.543558460383508,52.38045662171158
E05001232,Westwood,-1.5760135114357101,52.395561006567696
E05001233,Whoberley,-1.5506697697984793,52.41040820809911
E05001234,Woodlands,-1.582326057236524,52.41125682024937
E05001235,Wyken,-1.4468281852553904,52.411984777934045
E05001236,Amblecote,-2.137058819760758,52.46901642663437
E05001237,Belle Vale,-2.061910703825696,52.4568472585502
E05001238,Brierley Hill,-2.131559976692011,52.47946631063718
E05001239,Brockmoor and Pensnett,-2.133899591831587,52.49966551985974
E05001240,Castle and Priory,-2.088603770830739,52.52153593068196
E05001241,Coseley East,-2.087819740488923,52.54203673216706
E05001242,Cradley and Wollescote,-2.0982047444047964,52.455384550537985
E05001243,Gornal,-2.1330742269858174,52.52087976730895
E05001244,Halesowen North,-2.031151694133897,52.46686972855295
E05001245,Halesowen South,-2.031546077462494,52.446120256280864
E05001246,Hayley Green and Cradley South,-2.0779070969938136,52.44392965962758
E05001247,Kingswinford North and Wall Heath,-2.169237200686398,52.50508856711477
E05001248,Kingswinford South,-2.164249823944933,52.49182265868454
E05001249,Lye and Stourbridge North,-2.125002183461846,52.46053824514757
E05001250,"Netherton, Woodside and St Andrews",-2.0949582139135994,52.49181993948866
E05001251,Norton,-2.156392539394205,52.441827411140245
E05001252,Pedmore and Stourbridge East,-2.128913887391851,52.442173239918176
E05001253,Quarry Bank and Dudley Wood,-2.0953603542504804,52.475349436659094
E05001254,St James's,-2.105178850654174,52.51025956390971
E05001255,St Thomas's,-2.0743563803531524,52.50452381567751
E05001256,Sedgley,-2.124277331716945,52.54403577905224
E05001257,Upper Gornal and Woodsetton,-2.1071918090391364,52.53182241609112
E05001258,Wollaston and Stourbridge Town,-2.1584193367067597,52.46005014350307
E05001259,Wordsley,-2.15883193305714,52.48152181823449
E05001260,Abbey,-1.9775957846403178,52.47516919480208
E05001261,Blackheath,-2.04080027347795,52.47880868049102
E05001262,Bristnall,-1.995987993085022,52.483046146471786
E05001263,Charlemont with Grove Vale,-1.9678314462772546,52.544117653343854
E05001264,Cradley Heath and Old Hill,-2.0701161726404567,52.47106576505474
E05001265,Friar Park,-1.9942633557983809,52.555017670178195
E05001266,Great Barr with Yew Tree,-1.9437830135168934,52.55394069384937
E05001267,Great Bridge,-2.0387343782710516,52.53019624577799
E05001268,Greets Green and Lyng,-2.009840466543308,52.51823543040597
E05001269,Hateley Heath,-1.9942250837721396,52.539317349381115
E05001270,Langley,-2.018804653613848,52.48625762292756
E05001271,Newton,-1.946006223933269,52.53704473496596
E05001272,Old Warley,-2.002367362587989,52.4694833098697
E05001273,Oldbury,-2.027764167751327,52.508409383594675
E05001274,Princes End,-2.056111788048048,52.5444787609538
E05001275,Rowley,-2.055668868563041,52.48901877779254
E05001276,St Pauls,-1.9832719854647796,52.500907739031845
E05001277,Smethwick,-1.9804608723336514,52.48921827443489
E05001278,Soho and Victoria,-1.9601094859446315,52.49261849542269
E05001279,Tipton Green,-2.064006553515871,52.52792276622664
E05001280,Tividale,-2.045559902588521,52.50213771685
E05001281,Wednesbury North,-2.0217714376426557,52.558689740685445
E05001282,Wednesbury South,-2.01954363843705,52.54187574111324
E05001283,West Bromwich Central,-1.9791911973689482,52.521178790873584
E05001284,Bickenhill,-1.7211582889298689,52.43192941223843
E05001285,Blythe,-1.82366830300944,52.380532312073825
E05001286,Castle Bromwich,-1.7703864660456976,52.506188572940516
E05001287,Chelmsley Wood,-1.7320895422836085,52.4798817678642
E05001288,Dorridge and Hockley Heath,-1.7691623175098916,52.371050780784
E05001289,Elmdon,-1.7684328905499387,52.43955183797712
E05001290,Kingshurst and Fordbridge,-1.751346158028353,52.48521730268922
E05001291,Knowle,-1.7262861890859058,52.37974736097403
E05001292,Lyndon,-1.7924974591295832,52.445832061116306
E05001293,Meriden,-1.6438727192335394,52.40686335720537
E05001294,Olton,-1.8075258983930822,52.43173963334835
E05001295,St Alphege,-1.7862967905693297,52.407735420134095
E05001296,Shirley East,-1.8181201081634148,52.413526865453484
E05001297,Shirley South,-1.8142908447655266,52.39846686671028
E05001298,Shirley West,-1.8441338586523672,52.40775676631445
E05001299,Silhill,-1.7742448586325108,52.42151366972449
E05001300,Smith's Wood,-1.7470713545296948,52.50038543896961
E05001301,Aldridge Central and South,-1.9146246065688493,52.59905322161612
E05001302,Aldridge North and Walsall Wood,-1.9244078188135219,52.629046606440276
E05001303,Bentley and Darlaston North,-2.0255940962042147,52.58042852043509
E05001304,Birchills Leamore,-2.0044201420392325,52.598280288667105
E05001305,Blakenall,-1.9813281824813704,52.60578958365901
E05001306,Bloxwich East,-1.9960164907475444,52.62357935010132
E05001307,Bloxwich West,-2.0168191325500806,52.61931582915231
E05001308,Brownhills,-1.9422372982609462,52.64948410131111
E05001309,Darlaston South,-2.0421610521674687,52.56498100357414
E05001310,Paddock,-1.9550356746565813,52.574654626711414
E05001311,Palfrey,-1.9787569210573566,52.56663536510347
E05001312,Pelsall,-1.9694487317807694,52.6307173788674
E05001313,Pheasey Park Farm,-1.922810238405346,52.56766284488237
E05001314,Pleck,-2.0029092449514665,52.577442313306555
E05001315,Rushall-Shelfield,-1.9499012726980134,52.61105913240172
